iter	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false	BalancedAccuracy:use_weights=true	BalancedAccuracy:use_weights=false
0	0.6913870871	0.6815832915	0.6510779926	0.6815832922	0.6815832922
1	0.6896459239	0.6855812797	0.6926655343	0.6855812795	0.6855812795
2	0.6879277227	0.6860621938	0.7046288266	0.6860621934	0.6860621934
3	0.6862691696	0.6862528243	0.7091965805	0.6862528237	0.6862528237
4	0.6846370992	0.686084736	0.7053190679	0.6860847356	0.6860847356
5	0.6830268396	0.686324042	0.6912402828	0.6863240419	0.6863240419
6	0.6814462362	0.6863832762	0.7050223911	0.6863832758	0.6863832758
7	0.6799036409	0.6863792173	0.7027231457	0.6863792169	0.6863792169
8	0.6783990381	0.6861022094	0.6971290504	0.6861022092	0.6861022092
9	0.676903008	0.6861331792	0.6960860042	0.686133179	0.686133179
10	0.6754619636	0.6859993211	0.6956069112	0.6859993209	0.6859993209
11	0.6740243433	0.6863779925	0.7005207881	0.6863779921	0.6863779921
12	0.672628351	0.6863220357	0.7016941315	0.6863220353	0.6863220353
13	0.6712490589	0.686277032	0.6996227393	0.6862770317	0.6862770317
14	0.6699022331	0.6863076527	0.7004265732	0.6863076523	0.6863076523
15	0.6685530288	0.6862140348	0.6985195559	0.6862140345	0.6862140345
16	0.6672574366	0.6860638354	0.6976154935	0.6860638351	0.6860638351
17	0.6659718368	0.6860717961	0.6981026047	0.6860717959	0.6860717959
18	0.6647260097	0.6863782633	0.700422564	0.686378263	0.686378263
19	0.6634972868	0.686257277	0.6975907704	0.6862572768	0.6862572768
20	0.6622799871	0.6862286764	0.6975099193	0.6862286761	0.6862286761
21	0.661088371	0.6862744662	0.6983698812	0.6862744659	0.6862744659
22	0.6599250324	0.6862681271	0.6979562709	0.6862681268	0.6862681268
23	0.6587818724	0.6863428107	0.6989892942	0.6863428104	0.6863428104
24	0.6576423585	0.6864378321	0.6997917917	0.6864378317	0.6864378317
25	0.6565336876	0.6862844248	0.6993895407	0.6862844245	0.6862844245
26	0.6554287848	0.6863199194	0.7001459329	0.6863199191	0.6863199191
27	0.6543546869	0.6862993347	0.7003336946	0.6862993343	0.6862993343
28	0.6533155537	0.6863037665	0.7006450716	0.6863037662	0.6863037662
29	0.6522806444	0.6863415092	0.7013139308	0.6863415088	0.6863415088
30	0.6512748335	0.6863006747	0.7011047871	0.6863006744	0.6863006744
31	0.6502945154	0.686349847	0.7005394974	0.6863498467	0.6863498467
32	0.6493143629	0.6862803847	0.7010533363	0.6862803843	0.6862803843
33	0.6483461741	0.6863498141	0.7009484304	0.6863498137	0.6863498137
34	0.6473926603	0.6864736255	0.7010352952	0.6864736251	0.6864736251
35	0.6464631215	0.6864437514	0.700754655	0.686443751	0.686443751
36	0.6455511968	0.6864085152	0.7008308287	0.6864085149	0.6864085149
37	0.6446630849	0.6864750002	0.701066032	0.6864749998	0.6864749998
38	0.6437946577	0.6865763953	0.701541784	0.6865763949	0.6865763949
39	0.6429418169	0.6865863572	0.701898598	0.6865863568	0.6865863568
40	0.6420976851	0.6865370886	0.7016386717	0.6865370882	0.6865370882
41	0.641281611	0.6865869079	0.7014342052	0.6865869075	0.6865869075
42	0.6404628209	0.6865532415	0.701139533	0.6865532411	0.6865532411
43	0.6396655152	0.6864837841	0.7006591036	0.6864837838	0.6864837838
44	0.6388689833	0.6865400347	0.7009671397	0.6865400343	0.6865400343
45	0.6380948091	0.6865359494	0.7008608973	0.686535949	0.686535949
46	0.63733072	0.6864934233	0.7006697947	0.686493423	0.686493423
47	0.636579717	0.6864812578	0.7007813826	0.6864812575	0.6864812575
48	0.6358335416	0.6865491043	0.7005889436	0.6865491039	0.6865491039
49	0.635115482	0.6865083883	0.7013954502	0.686508388	0.686508388
50	0.6344117971	0.6865083109	0.7014235142	0.6865083106	0.6865083106
51	0.6337205818	0.6865146295	0.7013152672	0.6865146292	0.6865146292
52	0.6330404884	0.6864948021	0.7014268551	0.6864948017	0.6864948017
53	0.6323714784	0.6865127223	0.701213034	0.6865127219	0.6865127219
54	0.6317096845	0.6865304161	0.7014783058	0.6865304157	0.6865304157
55	0.6310572652	0.6865710069	0.7009818399	0.6865710065	0.6865710065
56	0.6304126825	0.6865702035	0.7010085675	0.6865702031	0.6865702031
57	0.6297855894	0.6865820446	0.7008822794	0.6865820443	0.6865820443
58	0.6291785056	0.6865486178	0.7005668933	0.6865486175	0.6865486175
59	0.6285687708	0.6865952308	0.7005328155	0.6865952305	0.6865952305
60	0.6279701815	0.6866510666	0.7003958364	0.6866510662	0.6866510662
