iter	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false	BalancedAccuracy:use_weights=true	BalancedAccuracy:use_weights=false
0	0.6927130148	0.8061320862	0.7555025834	0.8061320861	0.8061320861
1	0.6922754763	0.8149815664	0.7811147443	0.8149815664	0.8149815664
2	0.6918476671	0.8135776592	0.7716970771	0.8135776591	0.8135776591
3	0.6914114541	0.8134417	0.7659311584	0.8134416999	0.8134416999
4	0.6909807103	0.8154271418	0.7736415146	0.8154271417	0.8154271417
5	0.6905506851	0.8145761232	0.7713775803	0.8145761231	0.8145761231
6	0.6901155925	0.816641495	0.7752789357	0.8166414949	0.8166414949
7	0.6896832019	0.8165303531	0.7769587899	0.8165303531	0.8165303531
8	0.6892521868	0.8160893396	0.7780271073	0.8160893395	0.8160893395
9	0.688819646	0.8161240654	0.7765394504	0.8161240653	0.8161240653
10	0.6883930199	0.8161328982	0.7751990615	0.8161328982	0.8161328982
11	0.6879604124	0.8168478661	0.7797568829	0.816847866	0.816847866
12	0.6875346897	0.8167212059	0.7792776377	0.8167212059	0.8167212059
13	0.6871072186	0.816867241	0.7810897836	0.816867241	0.816867241
14	0.6866826718	0.816690034	0.7818760452	0.8166900339	0.8166900339
15	0.6862550446	0.8169887059	0.7831290717	0.8169887058	0.8169887058
16	0.6858319252	0.8165005318	0.7815939895	0.8165005318	0.8165005318
17	0.6854126695	0.815743583	0.7804482939	0.815743583	0.815743583
18	0.6849904265	0.8154421741	0.7803334748	0.815442174	0.815442174
19	0.6845748938	0.8157948272	0.7807727829	0.8157948271	0.8157948271
20	0.6841585635	0.8157224631	0.7803135062	0.815722463	0.815722463
21	0.6837396581	0.8151464027	0.7797444026	0.8151464026	0.8151464026
22	0.6833194314	0.8154394688	0.7798442453	0.8154394688	0.8154394688
23	0.6829024099	0.8154939003	0.7797094576	0.8154939002	0.8154939002
24	0.6824824974	0.8152365281	0.7794024412	0.8152365281	0.8152365281
25	0.6820696034	0.8152236673	0.7801737264	0.8152236672	0.8152236672
26	0.681653795	0.8152135954	0.7805431445	0.8152135953	0.8152135953
27	0.6812392293	0.815034699	0.7796795048	0.815034699	0.815034699
28	0.680824303	0.8147899766	0.7792401967	0.8147899765	0.8147899765
29	0.6804096585	0.8146872253	0.7784938722	0.8146872252	0.8146872252
30	0.6799926274	0.8150382768	0.7795696778	0.8150382767	0.8150382767
