iter	Passed	Remaining
0	290	28782
1	623	30565
2	933	30183
3	1233	29597
4	1541	29294
5	1872	29328
6	2196	29176
7	2498	28729
8	2832	28635
9	3119	28077
10	3466	28047
11	3777	27698
12	4071	27245
13	4413	27113
14	4734	26829
15	5015	26331
16	5342	26081
17	5652	25751
18	6013	25636
19	6321	25286
20	6633	24954
21	6961	24682
22	7280	24373
23	7561	23943
24	7919	23757
25	8244	23464
26	8530	23062
27	8902	22891
28	9241	22624
29	9610	22424
30	9900	22036
31	10233	21746
32	10580	21481
33	10893	21146
34	11216	20830
35	11535	20508
36	11832	20147
37	12165	19849
38	12498	19548
39	12787	19180
40	13128	18891
41	13466	18597
42	13758	18237
43	14056	17890
44	14353	17543
45	14624	17168
46	14936	16843
47	15227	16496
48	15563	16199
49	15912	15912
50	16190	15555
51	16512	15242
52	16827	14922
53	17109	14574
54	17430	14261
55	17733	13933
56	18058	13623
57	18379	13309
58	18666	12971
59	18988	12658
60	19307	12343
61	19605	12016
62	19916	11696
63	20235	11382
64	20594	11089
65	20875	10754
66	21212	10447
67	21536	10134
68	21839	9812
69	22088	9466
70	22402	9150
71	22734	8841
72	23086	8538
73	23381	8215
74	23715	7905
75	24045	7593
76	24340	7270
77	24721	6972
78	25033	6654
79	25339	6334
80	25689	6025
81	26027	5713
82	26253	5377
83	26569	5060
84	26903	4747
85	27183	4425
86	27524	4112
87	27845	3797
88	28138	3477
89	28477	3164
90	28798	2848
91	29126	2532
92	29412	2213
93	29765	1899
94	30060	1582
95	30380	1265
96	30728	950
97	31081	634
98	31402	317
99	31727	0
