iter	Passed	Remaining
0	104	83852
1	196	78254
2	294	78346
3	395	78699
4	495	78783
5	607	80384
6	708	80269
7	807	79912
8	900	79185
9	1006	79476
10	1101	79036
11	1200	78801
12	1297	78529
13	1405	78932
14	1556	81454
15	1692	82951
16	1846	85064
17	2013	87454
18	2152	88459
19	2293	89430
20	2492	92466
21	2649	93695
22	2794	94397
23	2900	93792
24	3012	93383
25	3106	92477
26	3199	91588
27	3344	92200
28	3465	92134
29	3562	91433
30	3656	90707
31	3759	90222
32	3854	89589
33	4009	90330
34	4104	89707
35	4193	88997
36	4291	88502
37	4387	87980
38	4494	87704
39	4600	87404
40	4698	86977
41	4812	86862
42	4905	86357
43	5010	86093
44	5110	85741
45	5208	85370
46	5310	85082
47	5404	84675
48	5500	84305
49	5601	84024
50	5698	83685
51	5797	83394
52	5888	82989
53	5985	82694
54	6085	82433
55	6177	82073
56	6280	81861
57	6378	81597
58	6475	81321
59	6574	81082
60	6666	80764
61	6786	80784
62	6898	80705
63	7050	81085
64	7179	81178
65	7318	81388
66	7465	81678
67	7608	81899
68	7756	82174
69	7881	82189
70	7978	81924
71	8081	81716
72	8176	81425
73	8269	81126
74	8373	80947
75	8472	80714
76	8575	80517
77	8677	80318
78	8798	80300
79	8913	80217
80	9033	80182
81	9170	80300
82	9294	80292
83	9412	80228
84	9530	80170
85	9642	80053
86	9763	80015
87	9882	79960
88	9999	79886
89	10115	79800
90	10213	79579
91	10312	79361
92	10411	79149
93	10506	78914
94	10622	78830
95	10720	78619
96	10819	78410
97	10974	78615
98	11103	78623
99	11238	78671
100	11385	78798
101	11525	78870
102	11674	78999
103	11791	78909
104	11904	78793
105	12004	78594
106	12100	78368
107	12196	78145
108	12290	77914
109	12405	77816
110	12518	77702
111	12632	77602
112	12749	77512
113	12869	77440
114	12995	77410
115	13106	77285
116	13217	77157
117	13323	77006
118	13420	76799
119	13517	76600
120	13621	76439
121	13719	76246
122	13818	76059
123	13915	75863
124	14015	75685
125	14112	75488
126	14210	75302
127	14309	75124
128	14406	74937
129	14500	74731
130	14638	74759
131	14778	74787
132	14934	74899
133	15089	74995
134	15226	75006
135	15382	75103
136	15502	75021
137	15598	74825
138	15700	74662
139	15797	74474
140	15891	74273
141	15993	74109
142	16086	73907
143	16177	73699
144	16279	73536
145	16378	73365
146	16474	73184
147	16601	73136
148	16693	72935
149	16793	72773
150	16890	72594
151	16987	72419
152	17085	72249
153	17181	72072
154	17279	71904
155	17382	71756
156	17477	71580
157	17576	71419
158	17676	71263
159	17775	71102
160	17878	70960
161	17974	70790
162	18114	70789
163	18252	70784
164	18395	70793
165	18540	70811
166	18698	70876
167	18861	70956
168	18992	70911
169	19089	70742
170	19193	70599
171	19292	70441
172	19394	70292
173	19492	70129
174	19590	69964
175	19687	69800
176	19789	69653
177	19885	69488
178	20001	69390
179	20115	69285
180	20229	69183
181	20344	69081
182	20475	69033
183	20597	68955
184	20715	68866
185	20824	68742
186	20941	68648
187	21050	68525
188	21163	68416
189	21278	68315
190	21396	68220
191	21487	68044
192	21588	67897
193	21683	67734
194	21782	67582
195	21877	67417
196	21973	67257
197	22071	67105
198	22241	67171
199	22378	67136
200	22536	67161
201	22684	67153
202	22837	67161
203	22968	67103
204	23071	66963
205	23163	66793
206	23262	66641
207	23370	66517
208	23468	66362
209	23594	66288
210	23695	66145
211	23798	66007
212	23906	65881
213	24004	65732
214	24105	65588
215	24205	65443
216	24343	65402
217	24476	65344
218	24619	65315
219	24764	65288
220	24901	65239
221	25050	65222
222	25202	65208
223	25310	65085
224	25430	64988
225	25537	64860
226	25650	64747
227	25747	64593
228	25843	64440
229	25942	64291
230	26036	64132
231	26143	64005
232	26237	63848
233	26337	63705
234	26453	63601
235	26552	63455
236	26662	63338
237	26776	63228
238	26895	63130
239	27007	63017
240	27123	62913
241	27220	62764
242	27318	62618
243	27418	62477
244	27512	62324
245	27611	62181
246	27706	62032
247	27804	61888
248	27902	61743
249	27999	61598
250	28094	61450
251	28259	61452
252	28407	61418
253	28567	61409
254	28748	61443
255	28921	61458
256	29079	61439
257	29241	61429
258	29355	61317
259	29507	61285
260	29682	61298
261	29806	61205
262	29928	61109
263	30060	61031
264	30172	60914
265	30305	60837
266	30412	60711
267	30532	60609
268	30640	60483
269	30751	60364
270	30851	60222
271	30956	60092
272	31058	59955
273	31155	59810
274	31263	59685
275	31376	59570
276	31552	59574
277	31700	59523
278	31875	59523
279	32025	59476
280	32201	59474
281	32346	59416
282	32452	59286
283	32562	59163
284	32672	59038
285	32781	58915
286	32873	58760
287	32994	58657
288	33112	58548
289	33237	58451
290	33358	58348
291	33481	58248
292	33604	58147
293	33726	58046
294	33842	57933
295	33972	57845
296	34089	57733
297	34215	57637
298	34346	57550
299	34470	57451
300	34592	57347
301	34699	57219
302	34812	57102
303	34929	56989
304	35038	56865
305	35152	56749
306	35244	56597
307	35346	56461
308	35442	56318
309	35533	56165
310	35641	56040
311	35778	55961
312	35898	55855
313	36034	55772
314	36174	55696
315	36336	55654
316	36488	55596
317	36607	55486
318	36723	55372
319	36834	55252
320	36951	55139
321	37056	55009
322	37152	54865
323	37252	54728
324	37351	54590
325	37451	54454
326	37545	54308
327	37640	54165
328	37749	54043
329	37843	53898
330	37943	53762
331	38059	53650
332	38173	53534
333	38286	53417
334	38401	53304
335	38514	53187
336	38612	53049
337	38713	52916
338	38803	52768
339	38901	52632
340	38998	52493
341	39096	52356
342	39195	52222
343	39295	52088
344	39393	51953
345	39492	51820
346	39603	51701
347	39762	51645
348	39892	51551
349	40030	51467
350	40170	51385
351	40326	51324
352	40479	51258
353	40591	51140
354	40687	51002
355	40787	50870
356	40882	50731
357	40978	50593
358	41078	50461
359	41176	50326
360	41272	50189
361	41380	50067
362	41477	49933
363	41576	49800
364	41677	49670
365	41774	49535
366	41909	49446
367	42005	49311
368	42104	49178
369	42204	49049
370	42304	48917
371	42405	48789
372	42505	48659
373	42600	48523
374	42706	48400
375	42799	48263
376	42895	48128
377	42992	47996
378	43084	47859
379	43182	47727
380	43352	47676
381	43490	47588
382	43627	47500
383	43823	47475
384	43972	47399
385	44108	47307
386	44212	47182
387	44328	47070
388	44434	46947
389	44537	46821
390	44638	46693
391	44735	46561
392	44831	46428
393	44928	46296
394	45025	46165
395	45120	46031
396	45217	45901
397	45344	45800
398	45439	45667
399	45532	45532
400	45633	45405
401	45728	45273
402	45826	45144
403	45925	45015
404	46019	44883
405	46116	44753
406	46209	44620
407	46316	44500
408	46430	44386
409	46543	44272
410	46655	44157
411	46786	44060
412	46933	43978
413	47066	43883
414	47239	43824
415	47396	43751
416	47556	43678
417	47682	43576
418	47797	43462
419	47909	43346
420	48021	43230
421	48116	43099
422	48210	42967
423	48311	42842
424	48406	42711
425	48498	42578
426	48600	42454
427	48698	42326
428	48794	42197
429	48899	42076
430	48993	41945
431	49124	41846
432	49232	41728
433	49352	41619
434	49464	41504
435	49574	41388
436	49670	41259
437	49767	41131
438	49864	41004
439	49962	40878
440	50061	40753
441	50155	40623
442	50253	40497
443	50409	40418
444	50546	40323
445	50708	40248
446	50846	40153
447	50982	40057
448	51125	39966
449	51256	39866
450	51358	39743
451	51459	39619
452	51557	39493
453	51650	39363
454	51753	39241
455	51849	39114
456	51947	38988
457	52045	38863
458	52139	38735
459	52244	38615
460	52345	38492
461	52453	38375
462	52569	38263
463	52697	38160
464	52809	38045
465	52925	37933
466	53019	37805
467	53113	37678
468	53211	37554
469	53309	37430
470	53407	37305
471	53502	37179
472	53602	37057
473	53698	36931
474	53790	36804
475	53893	36683
476	53993	36561
477	54102	36445
478	54266	36366
479	54401	36267
480	54550	36177
481	54714	36097
482	54856	36002
483	55015	35919
484	55147	35817
485	55276	35713
486	55393	35602
487	55507	35488
488	55618	35372
489	55732	35259
490	55841	35142
491	55961	35032
492	56072	34917
493	56199	34811
494	56295	34687
495	56392	34563
496	56488	34438
497	56596	34321
498	56711	34208
499	56821	34092
500	56935	33979
501	57041	33861
502	57154	33747
503	57255	33625
504	57350	33501
505	57447	33378
506	57541	33253
507	57644	33134
508	57737	33009
509	57832	32885
510	57986	32794
511	58110	32686
512	58270	32599
513	58418	32505
514	58559	32406
515	58710	32313
516	58830	32202
517	58943	32088
518	59052	31972
519	59154	31852
520	59258	31733
521	59357	31611
522	59467	31496
523	59577	31380
524	59696	31269
525	59801	31151
526	59946	31053
527	60055	30937
528	60171	30824
529	60280	30708
530	60393	30594
531	60518	30486
532	60630	30372
533	60743	30257
534	60857	30144
535	60972	30031
536	61073	29911
537	61166	29787
538	61288	29677
539	61436	29580
540	61563	29473
541	61706	29373
542	61841	29269
543	62002	29177
544	62133	29071
545	62251	28959
546	62366	28845
547	62466	28725
548	62561	28602
549	62663	28483
550	62759	28361
551	62853	28238
552	62951	28117
553	63045	27995
554	63145	27874
555	63242	27753
556	63337	27632
557	63438	27512
558	63532	27390
559	63632	27270
560	63743	27156
561	63855	27041
562	63967	26927
563	64078	26813
564	64178	26693
565	64279	26574
566	64377	26454
567	64476	26335
568	64601	26226
569	64701	26107
570	64809	25991
571	64913	25874
572	65023	25759
573	65135	25645
574	65253	25533
575	65365	25419
576	65477	25305
577	65574	25185
578	65675	25067
579	65768	24946
580	65866	24827
581	65968	24710
582	66061	24589
583	66160	24470
584	66257	24351
585	66354	24231
586	66453	24113
587	66548	23993
588	66648	23875
589	66745	23756
590	66836	23636
591	66951	23523
592	67098	23422
593	67254	23323
594	67398	23221
595	67540	23117
596	67699	23020
597	67813	22906
598	67918	22790
599	68023	22674
600	68121	22555
601	68220	22438
602	68326	22322
603	68434	22207
604	68571	22101
605	68688	21989
606	68803	21876
607	68922	21764
608	69037	21652
609	69156	21540
610	69316	21441
611	69437	21330
612	69589	21228
613	69735	21125
614	69875	21019
615	70033	20919
616	70158	20808
617	70271	20694
618	70383	20580
619	70493	20465
620	70595	20348
621	70691	20230
622	70787	20111
623	70885	19993
624	70979	19874
625	71080	19757
626	71172	19637
627	71276	19521
628	71399	19410
629	71495	19292
630	71598	19176
631	71695	19058
632	71791	18940
633	71888	18822
634	71984	18704
635	72081	18587
636	72179	18469
637	72281	18353
638	72376	18235
639	72485	18121
640	72601	18008
641	72716	17896
642	72826	17781
643	72934	17667
644	73091	17564
645	73221	17455
646	73361	17348
647	73532	17248
648	73680	17142
649	73819	17035
650	73933	16921
651	74043	16807
652	74153	16693
653	74253	16576
654	74351	16459
655	74459	16344
656	74570	16230
657	74687	16118
658	74799	16004
659	74918	15891
660	75043	15780
661	75140	15663
662	75242	15547
663	75340	15431
664	75442	15315
665	75538	15198
666	75637	15082
667	75735	14965
668	75834	14849
669	75944	14735
670	76043	14619
671	76153	14505
672	76256	14390
673	76354	14273
674	76465	14160
675	76585	14048
676	76751	13944
677	76882	13834
678	77021	13725
679	77160	13616
680	77343	13515
681	77478	13405
682	77584	13290
683	77689	13175
684	77782	13058
685	77876	12941
686	77976	12825
687	78068	12708
688	78163	12592
689	78263	12476
690	78356	12360
691	78454	12244
692	78559	12129
693	78675	12016
694	78785	11902
695	78906	11790
696	79031	11678
697	79146	11565
698	79246	11450
699	79346	11335
700	79442	11219
701	79537	11103
702	79639	10988
703	79740	10873
704	79836	10758
705	79941	10643
706	80038	10528
707	80135	10413
708	80236	10298
709	80336	10183
710	80454	10071
711	80553	9956
712	80661	9842
713	80758	9727
714	80856	9612
715	80999	9502
716	81137	9392
717	81287	9283
718	81432	9173
719	81590	9065
720	81734	8955
721	81869	8844
722	81979	8730
723	82089	8617
724	82190	8502
725	82293	8388
726	82389	8272
727	82485	8157
728	82581	8042
729	82676	7927
730	82773	7813
731	82867	7698
732	82962	7583
733	83061	7468
734	83156	7353
735	83255	7239
736	83355	7125
737	83448	7010
738	83565	6897
739	83669	6783
740	83759	6669
741	83859	6555
742	83955	6440
743	84050	6326
744	84147	6212
745	84254	6098
746	84371	5986
747	84478	5872
748	84593	5760
749	84704	5646
750	84813	5533
751	84931	5421
752	85057	5309
753	85193	5197
754	85303	5084
755	85463	4974
756	85595	4862
757	85734	4750
758	85873	4638
759	86013	4527
760	86156	4415
761	86289	4303
762	86383	4188
763	86486	4075
764	86584	3961
765	86677	3847
766	86772	3733
767	86871	3619
768	86984	3506
769	87094	3393
770	87208	3280
771	87320	3167
772	87422	3053
773	87520	2939
774	87613	2826
775	87709	2712
776	87810	2599
777	87909	2485
778	88038	2373
779	88150	2260
780	88265	2147
781	88379	2034
782	88478	1920
783	88571	1807
784	88669	1694
785	88764	1581
786	88856	1467
787	88957	1354
788	89047	1241
789	89145	1128
790	89245	1015
791	89338	902
792	89436	789
793	89531	676
794	89625	563
795	89724	450
796	89828	338
797	89943	225
798	90051	112
799	90213	0
