iter	Passed	Remaining
0	405	40135
1	2094	102636
2	3437	111135
3	4889	117345
4	4964	94319
5	5030	78810
6	6478	86074
7	7046	81030
8	8419	85126
9	8878	79906
10	10296	83307
11	11128	81607
12	11883	79530
13	13017	79963
14	14168	80286
15	15519	81475
16	15884	77552
17	16335	74415
18	17815	75950
19	17889	71557
20	19138	71997
21	19387	68738
22	21003	70317
23	22246	70446
24	22323	66970
25	22647	64457
26	22719	61425
27	24147	62093
28	25439	62283
29	26846	62642
30	28120	62590
31	29389	62452
32	30434	61791
33	30486	59180
34	31726	58919
35	33016	58696
36	34275	58360
37	35576	58046
38	35645	55752
39	35859	53789
40	37152	53463
41	38659	53387
42	39900	52891
43	41159	52384
44	41524	50752
45	42882	50339
46	44145	49781
47	45489	49279
48	46911	48826
49	48191	48191
50	48375	46478
51	49696	45873
52	51041	45262
53	51655	44002
54	53105	43449
55	53161	41769
56	54400	41038
57	54452	39430
58	55770	38755
59	57116	38077
60	58417	37349
61	58542	35880
62	60046	35265
63	60665	34124
64	60863	32772
65	62226	32056
66	63537	31294
67	63618	29937
68	64885	29151
69	66275	28403
70	66331	27093
71	67604	26290
72	67659	25024
73	68911	24212
74	70155	23385
75	71468	22569
76	72212	21570
77	72286	20388
78	72422	19251
79	72481	18120
80	73734	17295
81	74875	16435
82	76129	15592
83	77469	14756
84	78103	13782
85	78436	12768
86	78497	11729
87	78573	10714
88	79854	9869
89	79905	8878
90	81153	8026
91	81211	7061
92	82456	6206
93	82520	5267
94	83843	4412
95	85108	3546
96	86356	2670
97	87675	1789
98	87738	886
99	87804	0
