iter	Passed	Remaining
0	58	5750
1	103	5081
2	147	4779
3	194	4658
4	237	4513
5	284	4453
6	329	4381
7	373	4291
8	418	4231
9	463	4174
10	510	4128
11	555	4074
12	599	4010
13	646	3973
14	692	3925
15	739	3883
16	783	3824
17	827	3771
18	872	3718
19	918	3675
20	964	3629
21	1011	3587
22	1056	3536
23	1100	3483
24	1144	3433
25	1190	3388
26	1235	3339
27	1280	3292
28	1330	3256
29	1376	3211
30	1428	3179
31	1474	3133
32	1524	3094
33	1571	3050
34	1616	3002
35	1662	2955
36	1706	2906
37	1752	2859
38	1800	2816
39	1846	2769
40	1893	2725
41	1936	2674
42	1984	2630
43	2031	2585
44	2075	2536
45	2122	2491
46	2168	2445
47	2213	2397
48	2260	2353
49	2309	2309
50	2352	2260
51	2400	2215
52	2449	2171
53	2510	2138
54	2557	2092
55	2604	2046
56	2651	2000
57	2696	1952
58	2744	1907
59	2788	1858
60	2833	1811
61	2880	1765
62	2929	1720
63	2975	1673
64	3025	1629
65	3072	1582
66	3118	1535
67	3165	1489
68	3209	1442
69	3261	1397
70	3310	1351
71	3355	1305
72	3405	1259
73	3451	1212
74	3498	1166
75	3544	1119
76	3590	1072
77	3641	1026
78	3687	980
79	3736	934
80	3781	887
81	3828	840
82	3874	793
83	3922	747
84	3969	700
85	4017	654
86	4063	607
87	4107	560
88	4156	513
89	4201	466
90	4251	420
91	4300	373
92	4346	327
93	4393	280
94	4439	233
95	4488	187
96	4535	140
97	4579	93
98	4624	46
99	4672	0
