iter	Passed	Remaining
0	134	13302
1	265	13018
2	396	12830
3	533	12810
4	669	12713
5	778	12195
6	839	11149
7	974	11203
8	1107	11193
9	1258	11322
10	1398	11315
11	1564	11476
12	1708	11436
13	1865	11462
14	2034	11528
15	2212	11616
16	2374	11592
17	2502	11401
18	2578	10990
19	2700	10800
20	2819	10605
21	2946	10447
22	3078	10306
23	3195	10119
24	3334	10003
25	3470	9876
26	3607	9753
27	3736	9608
28	3906	9564
29	4034	9413
30	4158	9255
31	4286	9107
32	4410	8954
33	4538	8809
34	4671	8676
35	4846	8615
36	4999	8513
37	5155	8411
38	5334	8343
39	5491	8237
40	5666	8154
41	5819	8036
42	5954	7893
43	6086	7746
44	6215	7597
45	6335	7437
46	6456	7280
47	6578	7126
48	6700	6974
49	6827	6827
50	6950	6677
51	7067	6523
52	7186	6373
53	7305	6223
54	7438	6085
55	7567	5945
56	7707	5814
57	7799	5648
58	7933	5513
59	8069	5379
60	8203	5244
61	8314	5095
62	8436	4954
63	8554	4812
64	8619	4641
65	8676	4469
66	8800	4334
67	8881	4179
68	9018	4051
69	9146	3919
70	9268	3785
71	9388	3651
72	9514	3519
73	9637	3386
74	9770	3256
75	9909	3129
76	10048	3001
77	10189	2873
78	10329	2745
79	10470	2617
80	10632	2494
81	10742	2358
82	10898	2232
83	11000	2095
84	11174	1971
85	11345	1846
86	11511	1720
87	11655	1589
88	11798	1458
89	11939	1326
90	12074	1194
91	12202	1061
92	12323	927
93	12445	794
94	12575	661
95	12698	529
96	12840	397
97	12958	264
98	13085	132
99	13205	0
