iter	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false	BalancedAccuracy:use_weights=true	BalancedAccuracy:use_weights=false
0	0.688499812	0.8152397234	0.7785363053	0.8152397233	0.8152397233
1	0.6839348212	0.8202496216	0.7854953448	0.8202496216	0.8202496216
2	0.6794537025	0.8203478151	0.789062227	0.820347815	0.820347815
3	0.67511722	0.8218366803	0.7948930435	0.8218366802	0.8218366802
4	0.670756684	0.8225148824	0.7969048748	0.8225148823	0.8225148823
5	0.6665117441	0.8233158998	0.7962309363	0.8233158998	0.8233158998
6	0.6623136477	0.8236565408	0.7980630507	0.8236565407	0.8236565407
7	0.6583831543	0.8234602177	0.7944362629	0.8234602176	0.8234602176
8	0.6543943922	0.8238660752	0.7965404488	0.8238660751	0.8238660751
9	0.6504413167	0.8237685392	0.7965978584	0.8237685391	0.8237685391
10	0.6465452542	0.8233693472	0.7956293837	0.8233693472	0.8233693472
11	0.6427182568	0.8236299744	0.7953997454	0.8236299744	0.8236299744
12	0.63902875	0.8238207395	0.7954321943	0.8238207395	0.8238207395
13	0.6353596761	0.8236687721	0.7956243916	0.823668772	0.823668772
14	0.6317374654	0.8239125105	0.7955969348	0.8239125104	0.8239125104
15	0.6281899226	0.8238461584	0.7958265731	0.8238461584	0.8238461584
16	0.6247585768	0.8243875328	0.7958490378	0.8243875327	0.8243875327
17	0.6214081629	0.824422422	0.7961635424	0.8244224219	0.8244224219
18	0.6180326854	0.8246580207	0.7958889749	0.8246580207	0.8246580207
19	0.6147162033	0.8245716683	0.7962958341	0.8245716682	0.8245716682
20	0.6114447982	0.8245310817	0.7961261014	0.8245310817	0.8245310817
21	0.6082613702	0.824417649	0.7964455982	0.8244176489	0.8244176489
22	0.6052127771	0.8245737201	0.7963382672	0.8245737201	0.8245737201
23	0.6021091806	0.8247107311	0.7957317225	0.824710731	0.824710731
24	0.5990687569	0.8244832799	0.7958465417	0.8244832798	0.8244832798
25	0.5960898134	0.8246133305	0.7956343759	0.8246133305	0.8246133305
26	0.593143373	0.8246605308	0.7962034795	0.8246605307	0.8246605307
27	0.5902958124	0.8247726328	0.7962109677	0.8247726328	0.8247726328
28	0.5874395207	0.8247912946	0.796767591	0.8247912945	0.8247912945
29	0.5846397598	0.8247748042	0.796912363	0.8247748041	0.8247748041
30	0.5818869149	0.8247683857	0.7966877168	0.8247683857	0.8247683857
31	0.5792549089	0.82481004	0.7964331178	0.8248100399	0.8248100399
32	0.5765752078	0.8248657344	0.7960487233	0.8248657344	0.8248657344
33	0.573970618	0.824776609	0.7960437311	0.8247766089	0.8247766089
34	0.571387361	0.8247756847	0.7959064473	0.8247756846	0.8247756846
35	0.5688508199	0.8247968046	0.7960412351	0.8247968046	0.8247968046
36	0.5663303003	0.8250208733	0.7962109677	0.8250208732	0.8250208732
37	0.5638777729	0.824876918	0.7963981729	0.8248769179	0.8248769179
38	0.5614709885	0.824994056	0.796220952	0.8249940559	0.8249940559
39	0.5591318789	0.8251007914	0.7963931807	0.8251007913	0.8251007913
40	0.5567696631	0.8251036998	0.7966502758	0.8251036997	0.8251036997
41	0.5544531191	0.825164737	0.7973217183	0.8251647369	0.8251647369
42	0.5521580861	0.8254041087	0.7971120485	0.8254041087	0.8254041087
43	0.549934983	0.8253116008	0.7973916082	0.8253116007	0.8253116007
44	0.5477552481	0.8253556973	0.797528892	0.8253556973	0.8253556973
45	0.5456093817	0.8253643031	0.7976412151	0.8253643031	0.8253643031
46	0.5434748175	0.8255061309	0.7978958141	0.8255061309	0.8255061309
47	0.5413543401	0.8255331434	0.7980605546	0.8255331434	0.8255331434
48	0.5393084845	0.8255706184	0.7982053266	0.8255706183	0.8255706183
49	0.5372546558	0.825571475	0.7984199885	0.8255714749	0.8255714749
50	0.535268075	0.8255606819	0.7984199885	0.8255606819	0.8255606819
51	0.533304149	0.8255726025	0.7983251379	0.8255726024	0.8255726024
52	0.5313465432	0.8256911907	0.7984798942	0.8256911907	0.8256911907
53	0.5294628424	0.8257913722	0.798582233	0.8257913721	0.8257913721
54	0.5275947334	0.8258298392	0.7987869106	0.8258298391	0.8258298391
55	0.5257626711	0.8257593237	0.7986022015	0.8257593236	0.8257593236
56	0.5239500904	0.8257025774	0.7985972094	0.8257025774	0.8257025774
57	0.5221132926	0.8257615708	0.7988193595	0.8257615707	0.8257615707
58	0.5203514687	0.8257731606	0.7987045403	0.8257731606	0.8257731606
59	0.5186061069	0.8258415566	0.7989241944	0.8258415565	0.8258415565
60	0.5169062688	0.8258623459	0.7990390136	0.8258623458	0.8258623458
61	0.5151815229	0.8259192873	0.7992187305	0.8259192873	0.8259192873
62	0.5135119008	0.8258427438	0.7991588249	0.8258427438	0.8258427438
63	0.5118637163	0.8257717622	0.7991089035	0.8257717622	0.8257717622
64	0.5102275124	0.8258575729	0.7993210693	0.8258575728	0.8258575728
65	0.5086705007	0.8259062393	0.7994084317	0.8259062392	0.8259062392
66	0.507098708	0.8258487639	0.7994408806	0.8258487638	0.8258487638
67	0.5055481623	0.8258539951	0.7994308963	0.825853995	0.825853995
68	0.5040411738	0.8259841055	0.7995482116	0.8259841054	0.8259841054
69	0.502544274	0.8259840378	0.7996255897	0.8259840377	0.8259840377
70	0.5010812888	0.8260323735	0.7996929836	0.8260323734	0.8260323734
71	0.4995958231	0.8259752965	0.7996680229	0.8259752965	0.8259752965
72	0.4981349475	0.8260552824	0.7997728577	0.8260552823	0.8260552823
73	0.4967129708	0.826132555	0.7997953224	0.8261325549	0.8261325549
74	0.4952876283	0.826129774	0.7997903302	0.826129774	0.826129774
75	0.4938968019	0.8262518723	0.7999126376	0.8262518722	0.8262518722
76	0.4925323869	0.8261904885	0.800034945	0.8261904884	0.8261904884
77	0.4911921923	0.8262677611	0.8000574096	0.826267761	0.826267761
78	0.4898501836	0.8263240412	0.8001971894	0.8263240412	0.8263240412
79	0.4885415314	0.8263261608	0.8001622445	0.8263261607	0.8263261607
80	0.4872218293	0.826308017	0.8002071737	0.8263080169	0.8263080169
81	0.4859881016	0.826281861	0.8002570951	0.826281861	0.826281861
82	0.4847420288	0.8263821102	0.8002820558	0.8263821102	0.8263821102
83	0.483496406	0.8263805843	0.800434316	0.8263805842	0.8263805842
84	0.4822659949	0.8263127143	0.8004093553	0.8263127142	0.8263127142
85	0.4810870789	0.8263611177	0.800399371	0.8263611177	0.8263611177
86	0.4798828565	0.8264034931	0.8005141902	0.8264034931	0.8264034931
87	0.478696454	0.8263485358	0.8004542845	0.8263485357	0.8263485357
88	0.4775082676	0.826344958	0.8005641115	0.826344958	0.826344958
89	0.4763526109	0.8264052143	0.8005366548	0.8264052142	0.8264052142
90	0.475217568	0.8264548728	0.8006839228	0.8264548727	0.8264548727
91	0.4741051754	0.8264667256	0.8006664503	0.8264667256	0.8264667256
92	0.4730098169	0.8264322268	0.8007013953	0.8264322268	0.8264322268
93	0.4719441848	0.8265863736	0.8008037341	0.8265863736	0.8265863736
94	0.4708871133	0.8265732658	0.8006639543	0.8265732657	0.8265732657
95	0.4698422262	0.8265890271	0.8005566233	0.826589027	0.826589027
96	0.468836005	0.8266510045	0.8005516312	0.8266510045	0.8266510045
97	0.4678040865	0.8266568971	0.800581584	0.826656897	0.826656897
98	0.4667913602	0.8267254285	0.8006464818	0.8267254284	0.8267254284
99	0.4657947494	0.8267246994	0.8006839228	0.8267246993	0.8267246993
